SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
Samuel H Sharp (1907),,,Schooner,1862,"Mauricetown, NJ",1/25/07,1907,1,25,Cape May LSS SSE 2.5 mi,Stranded,Wood,US,114.4,28.9,9.9,236,207,"New York, NY","Bermuda Hundred, VA","New York, NY",Stroveland,6,,0,3000,1000,Pine wood,Cape May,Y,N,#22972; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary Haley (1886),,A Haley,Schooner,1856,"Dorchester, MD",5/8/1886,1886,5,8,Toms River LSS S .25 mi,Stranded,Wood,US,,,10,205.05,194.8,"New York, NY","Sloop Point, VA","New York, NY",Parker,7,,0,2500,1000,100 ton coal,Toms River,Y,N,#17295; Total loss; Broke up,Scrapbook #15,"New York, NY",ROOFTOP,40.714269,-74.005973
Martha J Granger (1880),,J Houseman,Schooner,1866,"Baltimore, MD",3/1/1880,1880,3,1,Green Island N 1.5 mi,Dismasted; Stranded,,,72.9,21.6,6.1,60,,"New York, NY",Virginia,"New York, NY",Mott,5,,0,3000,1000,Oysters,Green Island #12,Y,N,#16064; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
O P Binns (1878),,,Schooner,,,6/1/1878,1878,6,1,Cape May,Stranded,,,,,,113.55,,"New York, NY","Fredericksburg, VA","New York, NY",Steelman,6,,0,2000,1000,Railroad ties,Cape May #39,,N,#19024,,"New York, NY",ROOFTOP,40.714269,-74.005973
Annie L Palmer,,,Schooner,1874,"Bath, ME",3/13/1882,1882,3,13,Island Beach LSS N 1 mi,Stranded,,,87.6,25.2,8.5,119.2,113.24,"Bath, ME","Baracoa, Cuba","New York, NY",Lewis,6,,0,7000,900,Fruit,Island Beach #16,N,"N ",#105422 Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
E B Fithian (1881),,C A Clemont,Schooner,1864,"Greenwich, NJ",9/21/1881,1881,9,21,Hereford Inlet South bar,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Hog Island, VA","New York, NY",J B Higbee,3,,0,1500,1000,21 ton sweet potato,Hereford Inlet #36,N,N,#8020; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Young America,,,Steamer,1891,"Poughkeepsie, NY",9/4/1894,1894,9,4,Barnegat LSS N .25 mi,,,,49.5,13.5,5,24.96,18.01,"Albany, NY","Atlantic City, NJ","New York, NY",Fleming,6,,0,,1000,,Barnegat,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lena M Cottingham,,,Schooner,1875,"Seaford, DE",12/17/1887,1887,12,17,Harvey Cedars SSW 1.5 mi,Grounded,,,113.8,31,8.5,210,200.34,"New York, NY","Suffolk, VA","New York, NY",Campbell,6,,0,5000,800,Wood,Harvey Cedars,Y,N,#140089; Broke up; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Annie S Carll (1878),,,Schooner,1871,"Glenwood, NY",1/30/1878,1878,1,30,Absecon Inlet North shoal,Stranded,,,67,20.4,5.3,48.06,45.66,"Patchogue, NY","Rappahannock, VA","New York, NY",Seeman,5,0,0,4000,900,Oysters,Atlantic City #27,N,N,#105046; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Washington (1871A),,,Schooner,,,1/20/1871,1871,1,20,Great Egg Harbor bar,Stranded,,US,,,,,,,"Norfolk, VA","New York, NY",Joline,5,,0,2800,800,Oysters,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Chocorua,Chocoma,,Schooner,1869,"Gloucester, MA",5/29/1898,1898,5,29,Brigantine Shoal,Stranded,Wood,US,72,21,7.3,62.87,59.73,"New York, NY","Cape Henry, VA","New York, NY",Smith,9,,0,3000,700,Fish,Brigantine,Y,N,#5734; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emma Catherine,,,Sloop,1868,,3/17/1877,1877,3,17,Absecon E 10 mi,Foundered in heavy seas,,US,,,,14.85,,"Tuckerton, NJ","Tuckerton, NJ","New York, NY",E Hulse,3,,0,1000,700,Oysters,,Y,N,"#8313; Crew saved by ""Hercules""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Gertrude (1892),,,Sloop,,"Penns Grove, NJ",12/24/1892,1892,12,24,Long Branch LSS E 300 yds,Stranded,Wood,US,38,14.2,4.8,1818.14,17.23,"Somers Point, NJ",Virginia,"New York, NY",Hilton,2,0,0,800,700,Clams,Long Branch,N,N,#10945; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Alberta,,,Schooner,1882,"Baltimore, MD",10/12/11,1911,10,12,Little Egg Harbor S 1 mi,Grounded,,,78.2,25.3,6.3,77,73,"Chincoteague, VA","York River, VA","New York, NY",,4,0,0,3000,640,Lumber,Little Egg & Little Beach,N,N,#106113; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Clayton Frame,,,Schooner,1864,"Milford, DE",6/14/1886,1886,6,14,Monmouth Beach LSS N 1 mi,Grounded,,,60.2,22.8,4.6,48.69,46.45,"Milville, NJ","Broadkill, DE","New York, NY",Charles E Smith,4,,0,1200,800,Charcoal,Seabright #3,Y,N,#5368; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cordela Newkirk,,John Huntley,Schooner,1860,"Nacote Creek, Galloway, NJ",12/17/1877,1877,12,17,Barnegat SE 40 mi,Dismasted in hurricane,Wood,US,109.3,28.4,8.5,201.27,191.21,"Philadelphia, PA",Virginia,"New York, NY",P C Huntley,7,0,0,8000,800,150 tons pinewood,,N,N,#4962; Towed to Jersey City,,"New York, NY",ROOFTOP,40.714269,-74.005973
Henrietta (1873),,,Schooner,,,2/21/1873,1873,2,21,"Long Branch, NJ",Stranded,,,,,,,,"East Rockaway, NY",Virginia,"New York, NY",W H Rider,5,,0,4000,700,Oysters,Monmouth Beach #4,Y,"N ",Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
George Taulane,,J D Adams,Schooner,1866,,2/3/1880,1880,2,3,Squan Beach LSS,Wrecked in gale,Wood,US,,,,235.37,,"Camden, NJ","Pamunkey River, VA","New York, NY",J D Adams,7,0,2,8000,600,330 ton pine wood,"Squan Beach #11, #12, #13",Y,Y,#10894;Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
P A Saunders,,Steelman & Co,Schooner,1855,"Bridgeton, NJ",3/16/1876,1876,3,16,Highland Light S .5 mi,"Collision w/ ""Jeremiah""",Wood,,,,10,174,,"Bridgeton, NJ","Norfolk, VA","New York, NY",Steelman,,,,4000,600,Pine wood,Seabright #3,,N,#3041,,"New York, NY",ROOFTOP,40.714269,-74.005973
Moderator,,Loren Bugbie,,1855,,9/8/1877,1877,9,8,"Synopurion Beach, MD",Stranded in heavy Seas; leaking,,,,,,151.75,,"Tuckerton, NJ","Pergaubar River, Va","New York, NY",Cooper Predmore,6,,0,5000,600,Wood,,Y,N,#16592; Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Rhodella Blew (1878),,C Matthews,Schooner,1859,"Mauricetown, NJ",9/4/1878,1878,9,4,Barnegat,Grounded in gale,,,,,,184.43,173.21,"New York, NY","Norfolk, VA","New York, NY",William Scull,5,0,0,500,600,250 ton wood,,N,"N ",#21501; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
J G Conner (A),,,Schooner,1874,"Smith Landing, NJ",2/4/1884,1884,2,4,Little Egg LSS SW .5 mi,Grounded,,,,,,25.76,24.48,"Chincoteague, VA","Chincoteague, VA","New York, NY",Willis,2,,0,1500,525,Oysters,Little Egg # 23,,N,#75731,,"New York, NY",ROOFTOP,40.714269,-74.005973
George S Low,,David Low & Co,Schooner,1865,"Chelsea, MA",5/10/1879,1879,5,10,Ludlams Beach N 1 mi,Grounded,,,70,20.8,7.3,62,,"Gloucester, MA","Gloucester, MA","New York, NY",Osborne,15,0,0,2800,600,Mackerel,Ludlams Beach #33,Y,N,#10280; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Louisa P Pharo,,A R Pharo,Schooner,1873,,2/4/1886,1886,2,4,"Mason's Creek, VA",Stranded in snowstorm,Wood,US,,,,202.33,,"Tuckerton, NJ","Hampton Roads, VA","New York, NY",M J Derek,6,,0,3000,600,,,N,N,#15193,,"New York, NY",ROOFTOP,40.714269,-74.005973
Flora Curtis,,James Curtis,Schooner,1873,"Newtown, MD",8/19/1879,1879,8,19,Atlantic City LSS SE .75 mi,Grounded in gale,,,,,,83,,"Perth Amboy, NJ","Old Point, VA","New York, NY",Asher Curtis,4,,0,8000,500,Wood,Atlantic City #27 & 28,Y,N,#120108; Total loss; USLSS keepers dismissed,,"New York, NY",ROOFTOP,40.714269,-74.005973
Susan Jane (1880),,James Andrews,Schooner,1876,"Greenbank, NJ",11/16/1880,1880,11,16,Little Egg Harbor shoal,Grounded; Lost rudder,,,66.6,23.9,5.5,49.2,46,"Tuckerton, NJ","Tuckerton, NJ","New York, NY",James Andrews,6,,0,1800,507,Charcoal & hay,Little Egg 23 & Little Beach 24,N,N,#22531; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charlotte Brown,,G G Snow,Schooner,1860,"Essex, MA",5/5/1885,1885,5,5,Seabright LSS S 1.25 mi,Stranded,,US,80,23,8,84,,"Provincetown, MA","Harwich, MA","New York, NY",J D Pierce,15,,0,6000,500,Fish,"Sea Bright, Spermaceti Cove, Monmouth Beach",N,N,#4590; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sudie Wayman,,,Schooner,1871,"St Michaels, MD",9/19/1899,1899,9,19,Atlantic City LSS S 1 mi,Stranded,,,61.5,20.5,5,37,,"Baltimore, MD","Norfolk, VA","New York, NY",Payson,4,,0,1500,500,Lumber,Atlantic City,Y,N,#23976; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
E B Fithian (1883),,C A Clemont,Schooner,1864,"Greenwich, NJ",11/28/1883,1883,11,28,Point Creek,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Port Republic, NJ","New York, NY",J B Higbee,3,,0,1000,500,Oysters,Little Egg Harbor,N,N,#8020; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Joseph Allen (1907),,,Schooner,1865,"Accomac County, VA",9/27/07,1907,9,27,Little Egg LSS SE .75 mi,Stranded,,,74.5,24.1,5.6,56,39,"Newport News, VA","James River, VA","New York, NY",,4,,0,2500,500,Lumber,Little Egg,N,N,#13956; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
May Montanye,,,Schooner,,,1/28/1880,1880,1,28,Great Egg Harbor Inlet,Dismasted in heavy winds,,,,,,28,,"Perth Amboy, NJ","Potomac River, MD","New York, NY",Seeley,4,,0,3500,500,Oysters,Absecon # 28,N,N,#90206; Repaired & set sail,,"New York, NY",ROOFTOP,40.714269,-74.005973
William H Mills (1881),,Ebenezer Parker,Sloop,,,1/21/1881,1881,1,21,Sandy Hook LSS E 1 mi,Stranded in ice,Wood,US,,,,11.83,,"Little Egg Harbor, NJ","Little Egg Harbor, NJ","New York, NY",James W Parker,2,,0,800,450,Oysters,Sandy Hook #1,Y,N,#80412; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
C & C Brooks (1878),,,Schooner,,,12/24/1878,1878,12,24,Brigantine LSS E .75 mi,Grounded in storm,,,,,,135.22,,"New York, NY",Virginia,"New York, NY",Darby,5,,0,2000,435,Pinewood,Brigantintine #25,Y,N,#5048; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cora (1875),,,Schooner,,,11/8/1875,1875,11,8,Squan Beach,Leaking badly; Grounded,,,,,,52.17,,"Tuckerton, NJ","Egg Harbor, NJ","New York, NY",McKeen,5,,0,16000,400,Hop poles,Swan Point #11,Y,N,#4524; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
C H Maleson,,,Schooner,,,1/2/1878,1878,1,2,Turtle Gut Inlet N,Stranded,,,,,,,45,"Squan, NJ","Assawoman, VA","New York, NY",Curtis,3,,,3000,400,Pine wood,Cape May #39,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Eveline (1875),Evaline,,Sloop,,,3/15/1875,1875,3,15,Townsends Inlet South bar,Stranded,,,,,,23,,"Sayerville, NY","Chincoteague, VA","New York, NY",Newton,3,,0,2800,400,Oysters,Townswnds Inlet #34,N,N,#8338; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emblem,,,Schooner,,,8/18/1879,1879,8,18,Long Beach LSS N .25 mi,Wrecked,,,,,,32,,"Beaufort, NC","Beaufort, NC","New York, NY",Marker,5,,0,1500,400,Melons,Long Beach #21,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emma D Blew,,John Bart,Schooner,1870,"Bridgeton, NJ",8/18/1879,1879,8,18,Long Beach LSS N 1 mi,Stranded,,,45.2,18.1,5.4,32,,"Bridgeton, NJ","Dividing Creek, NJ","New York, NY",Moore,4,,0,1500,400,Watermelons,Long Beach #21,Y,N,#8783; Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lydia Budd,,,Schooner,1862,"Cape May, NJ",6/27/1879,1879,6,27,Absecon bar,Wrecked,,,,,,50,,"Cape May, NJ","Great Egg Harbor, NJ","New York, NY",Skoffard,7,,0,1200,400,Wood,,N,N,#14743; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Robert C Harris,,,Schooner,1903,"Eastport, ME",8/5/10,1910,8,5,Monmouth Beach LSS N .1 mi,Struck sunken object,Wood,US,48.5,16.5,7.5,21,16,"Gloucester, MA","Gloucester, MA","New York, NY",,8,0,0,2800,400,Fish,Monmouth Beach,N,N,#111471; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
L C Wallace (1878),,,Sloop,,,3/3/1878,1878,3,3,Sandy Hook LSS  S 600 yds,Stranded,,,,,,16.61,,"Absecon, NJ","Absecon, NJ","New York, NY",Somers,3,,0,2000,400,Oysters & clams,Sandy Hook #1,N,N,"#140166; Refloated ",,"New York, NY",ROOFTOP,40.714269,-74.005973
Minnie Aiken,,,Schooner,,,8/19/1879,1879,8,19,Bonds LSS NE .75 mi,Stranded,,,,,,36.67,,"Bridgeton, NJ","Morris River, NJ","New York, NY",Smith,3,,0,3000,350,Melons,Bonds #22,Y,N,#90811; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Enterprise (1883),,,Schooner,,,2/17/1883,1883,2,17,Absecon LSS SW 1.75 mi,Grounded to prevent sinking,,,,,,22,,"Chincoteague, VA","Chincoteague, VA","New York, NY",Jones,3,,0,1000,385,Oysters,Absecon # 28,Y,"N ",Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sallie C Morton,,,Schooner,1868,"Chester, PA",10/21/1888,1888,10,21,Cape May LSS SE 2 mi,,Wood,,82,23,5,68,64.32,"Bridgeton, NJ","Millville, NJ","New York, NY",Shaw,5,,0,2000,350,Sand,Cape May,,N,#23561,,"New York, NY",ROOFTOP,40.714269,-74.005973
R & S Corson (1899),,R Corson,Schooner,1866,"Wilmington, DE",7/16/1899,1899,7,16,Spring Lake LSS N 2 mi,Stranded,,,110.4,29,8.5,262,249,"Wilmington, DE","Norfolk, VA","New York, NY",Lawson,6,,0,600,400,Lumber,Spring Lake,N,N,#21700; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Sudie Wayman,,,Schooner,1871,"St Michaels, MD",9/2/1897,1897,9,2,Ocean City LSS NE 1.5 mi,Stranded,,,61.5,20.5,5,37,,"Baltimore, MD","Magothy, VA","New York, NY",Payson,4,,0,1000,350,Melons,Ocean City,N,N,#23976; Refloated,Scrapbook #15,"New York, NY",ROOFTOP,40.714269,-74.005973
Sarah Quinn,,,Schooner,1868,"Tuckerton, NJ",12/23/1878,1878,12,23,Swan Point LSS S 200 yds,Stranded,,,,,,113.58,107.91,"New York, NY",Virginia,"New York, NY",Lee,5,,0,3000,325,Pine wood,Swan Point #11,N,N,#23502; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Adele Trudell,,Frank Smith et al,Schooner,1870,,11/24/1891,1891,11,24,Sandy Hook Romer Shoal,Stranded in storm,Wood,,,,,157,,"Camden, NJ","Cape May, NJ","New York, NY",Roopey,8,,0,2000,310,Sand,Sandy Hook,Y,N,#944; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Farmer (1886),,,Schooner,1839,"Huntington, NY",3/21/1886,1886,3,21,Barnegat Shoal,Grounded,Wood,US,50.6,19.2,4.7,31.97,30.38,"New York, NY","Little Egg Harbor, NJ","New York, NY",Thurber,2,,0,2000,300,Clams,Barnegat,N,N,#9763; Refloated; All saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bonita (1896),,,Schooner,1863,"Kennebunkport, ME",9/10/1896,1896,9,10,Little Egg Harbor LSS S 1.25 mi,Grounded,,,42.8,15.3,5.6,18.67,17.74,"Gloucester, MA","Chincoteague, VA","New York, NY",Price,4,,0,1500,255,Wood,Little Egg,N,N,#2561; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cornelia M Kingsland,,,Schooner,1880,"Greenport, NY",11/23/1895,1895,11,23,Sandy Hook Romer Shoal,Stranded,Wood,US,55.1,17.3,7.7,39,37.05,"Greenport, NY","Fire Island, NY","New York, NY",Maitland,9,,0,1500,300,Fish,Sandy Hook,Y,N,#125786; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Republic (1886),,,Schooner,1882,"Milton, DE",6/14/1886,1886,6,14,Seabright LSS S 1.5 mi,,,,,,,66.25,,"Wilmington, DE","Milford, DE","New York, NY",David Hill,5,0,0,4000,275,Wood,Seabright,Y,N,#110523; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Howard (1880),,H L Lamson,,1857,,4/29/1880,1880,4,29,Little Egg Harbor,Grounded in gale,Wood,US,,,,20.84,,"Tuckerton, NJ","Tuckerton, NJ","New York, NY",Lewis L Lamson,1,0,0,800,240,Hay,,Y,"N ",#11015; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Shekinah (1882),,,Schooner,1869,"Millville, NJ",1/30/1882,1882,1,30,Little Egg LSS S 1 mi,Grounded,,,80.6,22.3,6,83.5,,"Bridgeton, NJ","Chincoteague, VA","New York, NY",Shaw,4,,0,3000,250,Cordwood,Little Egg #23,N,N,#115018; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Farmer (1891),,,Schooner,1839,"Huntington, NY",10/16/1891,1891,10,16,Little Egg LSS S .5 m,Grounded,Wood,US,50.6,19.2,4.7,31.97,30.38,"New York, NY","Little Egg Harbor, NJ","New York, NY",Henderson,2,,0,1500,200,Clams,Little Egg,N,N,#9763; Refloated; All saved,,"New York, NY",ROOFTOP,40.714269,-74.005973
Samuel C Holmes (1906),,,Schooner,1880,,11/15/06,1906,11,15,Long Branch LSS S .5 mi,Stranded; Wrecked,,,79.6,25,5.8,79,,"Wilmington, DE",Virginia,"New York, NY",Evans,4,,0,2000,225,Wood,Long Branch & Deal,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
Rio Grande (1883),,,Sloop,,,1/16/1883,1883,1,16,Wreck Pond Inlet,Stranded,,,30,15,4,12.94,12.79,"Perth Amboy, NJ","Little Egg Harbor, NJ","New York, NY",J W Foster,4,0,0,1000,200,Clams,#8 and #9,N,"N ",#21587; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
James M Vandervorse,,,Schooner,,,1/7/1878,1878,1,7,Little Egg Harbor LSS N 1 mi,Grounded,,,,,,40,,"Perth Amboy, NJ",Virginia,"New York, NY",Brown,5,,0,3500,240,Pinewood,Little Egg #23,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lizzie Bell (1897),,,Schooner,1884,"New Gretna, NJ",5/15/1897,1897,5,15,Little Egg Harbor LSS S 1.25 mi,Grounded,,,56,20.3,5.6,44,41,"Tuckerton, NJ","New Gretna, NJ","New York, NY",,3,,0,1700,150,Wood,Little Egg Harbor & Little Beach,N,N,#140711; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
John Anna (1895),,,Schooner,1866,"Somers Point, NJ",5/9/1895,1895,5,9,Great Egg LSS S 2 mi,Stranded,,,52.5,18.7,4.5,29.36,27.89,"Somers Point, NJ","Tuckahoe, NJ","New York, NY",Bailey,2,0,0,500,150,Wood,"Great Egg ",N,N,#12906; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Samuel Warren,,John W Hall,Schooner,1864,"Frederica, DE",2/2/1880,1880,2,21,Little Egg LSS,Grounded in Snow Blizzard,,US,,,,88,,"Frederica, DE","Millville, NJ","New York, NY",Daniel Loper,4,0,0,3000,125,Plastering sand,Little Egg #23,Y,N,#23303; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ordnance,,U S Army,Steamer,,"Wilmington, DE",1/2/1898,1898,1,2,Sandy Hook Point,Stranded in fog,Wood,US,100,19.6,9.6,97,,"New York, NY",,"New York, NY",Sullivan,20,,0,27500,100,,,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Margaret A Amelia (1887),,,Schooner,1871,"Absecon, NJ",3/14/1887,1887,3,14,Sandy Hook Point,Foundered,Wood,,45.6,17.3,4.6,24,22.66,"Somers Point, NJ","Little Egg Harbor, NJ","New York, NY",Reed,3,,0,1000,105,Wood,Sandy Hook #1,Y,N,#17151; Total loss,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
Hattie J,,,Schooner,1864,"Great Egg Harbor, NJ",9/24/1881,1881,9,24,Great Egg Harbor Inlet North side,Stranded,,,,,,30,28.53,"Somers Point, NJ","Somers Point, NJ","New York, NY",Campbell,3,,0,800,100,Wood,,N,N,#11262 Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Alice Ridgway (1888),,William E Cranmer,Sloop,1880,"Tuckerton, NJ",3/12/1888,1888,3,12,Little Egg LSS N .25 mi,Stranded,Wood,US,38.6,13.9,4,10.98,10.44,"Tuckerton, NJ","Manahawkin, NJ","New York, NY",Brown,2,0,0,800,125,Oysters,Little Egg,N,N,#105893; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Alfred C Harmer,,,Sloop,1873,"Bayport, NY",1/1/1897,1897,1,1,Little Egg LSS E 1.75 mi,Stranded,Wood,US,47.2,17.2,5.1,23,20,"Somers Point, NJ","Little Egg Harbor, NJ","New York, NY",Endicott,2,0,0,1000,50,Wood,Little Egg,N,N,#105279; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Rio Grande (1890),,,Sloop,,,12/17/1890,1890,12,17,Little Egg Harbor,Stranded,,,30,15,4,12.94,12.79,"Manasquan, NJ","Highlands, NJ","New York, NY",Foster,4,0,0,800,75,Clams,,,"N ",#21587,,"New York, NY",ROOFTOP,40.714269,-74.005973
Italia,,R Giacopello,Bark,1876,"Lerici, Italy",1/16/1879,1879,1,16,Deal Beach,Stranded in snow storm,Wood,Italy,183,35,23,,625,"Spezzia, Italy","Plymouth, England","New York, NY",Mazzani,14,,0,35000,0,In ballast,Deal #6,Y,Y,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
L C Wallace (1882),,,Sloop,,,11/3/1882,1882,11,3,Atlantic City LSS NE .75 mi,Stranded,,,,,,16.61,,"Absecon, NJ","Absecon, NJ","New York, NY",Higbee,2,,0,1000,25,Oysters & clams,Atlantic City #27,N,N,#140166; Refloated undamaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
Rjukan,,T Offenberg & Co,Sailing ship,1856,"Boston, MA",12/26/1876,1876,12,26,Ocean Park,Stranded in fog,Wood,Norway,184.6,36.6,22.2,960,,"Skien, Norway","London, England","New York, NY",Theodore Hanson,20,0,0,25000,0,None,Shark River #7,Y,N,Total  Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Veloz,,,Brig,,,2/12/1881,1881,2,12,Point Pleasant LSS N,Stranded,,,,,,145,,"Barcelona, Spain",Puerto Rico,"New York, NY",Zugasti,18,,0,3500,0,In ballast,Pt Pleasant #10,Y,N,Total loss,See scrapbooks 38 - 43 - Purple Misc,"New York, NY",ROOFTOP,40.714269,-74.005973
Homeward Bound,,J C Gibman,Bark,1864,"Bucksport, ME",3/21/1879,1879,3,21,Wreck Pond LSS N 1 mi,Stranded,,,132,30,18.5,561,,"Searsport, ME","Amsterdam, Neth","New York, NY",Merriman,12,,0,7000,0,None,Wreck Pond #8,Y,N,#95368; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Carrie S Webb (1881),,Bentley Gildersleeve & Co,Schooner,1867,"Westerly, RI",3/1/1881,1881,3,1,,Stranded,,,100,28.6,9,196,,"Brookhaven, NY",Puerto Rico,"New York, NY","  ",7,,0,,," ",,Y,N,#5425; Sunk,,"New York, NY",ROOFTOP,40.714269,-74.005973
Morro Castle,,Ward Line,Passenger,1930,"Newport News, VA",9/8/34,1934,9,8,Asbury Park,Burned and grounded,Steel,US,508,70,39,11520,,"New York, NY","Havana, Cuba","New York, NY",Robert R Willmott,231,548,134,5500000,,Passengers and mail,,N,Y,#230069; Refloated & Scrapped,,"New York, NY",ROOFTOP,40.714269,-74.005973
Bowden,,A & S Frugtfast,Steamer,1912,"Fredrickstad, Norway",1/30/17,1917,1,30,Barnegat Inlet,Stranded in fog,Steel,Norway,235,33.6,21.2,1255,716,"Christiania, Norway","Jamaica, WI","New York, NY",M H Henriksen,23,,0,434000,,Sugar,Barnegat & USCG,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Tara III,,Transportation Corp of America,Yacht,1953,"Alkimaar, Netherlands",8/24/57,1957,8,24,Atlantic City E 3 mi,Burned,Steel,,59.5,15.9,8.6,61,50,"New York, NY","Annapolis, MD","New York, NY",J M Phipps,,6,0,200000,,,,Y,"N ","Rescued by ""Elaina""/""Lone Ranger""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Reliance (1886),,,Sloop,1857,"Browns Point, NJ",12/7/1886,1886,12,7,Island Beach LSS S 2 mi,Crushed by ice,,,46,17,4.4,29,27.55,"New York, NY","Tompkinsville, NY","New York, NY",Joline,4,0,0,700,100,Wood,,Y,N,#21464; Declared total loss but repaired,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles Thomas,Marmion,R L Taylor,Steamer,1864,"Philadelphia, PA",11/7/1868,1868,11,7,Sandy Hook Flynn Knoll,"Collision w/ ""General Meade""",,,232,32,19,1051,,"New York, NY","Savannah, GA","New York, NY",Faircloth,,,0,150000,,Cotton,,Y,N,"Towed by ""Lackawanna""; Cargo saved; Later broke up",,"New York, NY",ROOFTOP,40.714269,-74.005973
Sacramento,,W E Weld,Ship,1865,"Boston, MA",12/16/1867,1867,12,16,Deal Beach,Dismasted in gale,,US,200,37.1,23.7,1418,,"Boston, MA","Boston, MA","New York, NY",,,,,168000,,,,N,N,Towed in,,"New York, NY",ROOFTOP,40.714269,-74.005973
